name,rating,review_count,price,location.city,coordinates.latitude,coordinates.longitude,categories,distance,full_address
Kiraku,4.4,1737,$$,Berkeley,37.863768063655826,-122.2588919009019,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'izakaya', 'title': 'Izakaya'}]",1520.0059537194222,"2566B Telegraph Ave, Berkeley, CA 94704, USA"
Imm Thai Street Food,4.1,2085,$$,Berkeley,37.87172,-122.26902,"[{'alias': 'thai', 'title': 'Thai'}]",635.8734085702621,"2072 University Ave, Berkeley, CA 94704, USA"
Tsuruya,4.6,151,$$,Berkeley,37.87331870184628,-122.26871711106033,"[{'alias': 'ramen', 'title': 'Ramen'}]",765.9930323634638,"1934 Shattuck Ave., Berkeley, CA 94704, USA"
Noodle Dynasty,4.5,393,$$,Berkeley,37.866379,-122.258916,"[{'alias': 'noodles', 'title': 'Noodles'}]",1439.0491302287617,"2428 Telegraph Ave, Berkeley, CA 94704, USA"
My-O-My,4.4,67,,Berkeley,37.87525464086151,-122.2603074673181,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'poutineries', 'title': 'Poutineries'}, {'alias': 'wraps', 'title': 'Wraps'}]",1492.8740952249505,"1866 Euclid Ave, Berkeley, CA 94709, USA"
Good To Eat,4.4,295,$$,Emeryville,37.84721282099529,-122.29057483292785,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",2740.3334679363516,"1298 65th St Suite #1, Emeryville, CA 94608, USA"
Cheese Board Pizza,4.5,6194,$$,Berkeley,37.87987169931607,-122.2694537571586,"[{'alias': 'pizza', 'title': 'Pizza'}]",1346.3931333996484,"1512 Shattuck Ave., Berkeley, CA 94709, USA"
Berkeley Social Club,4.1,2438,$$,Berkeley,37.8718158,-122.2696171,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}]",606.200249376176,"2048 University Ave, Berkeley, CA 94704, USA"
Tanzie's,4.6,242,$$,Berkeley,37.862258,-122.281529,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'thai', 'title': 'Thai'}]",907.7888013984634,"1453 Dwight Way, Berkeley, CA 94702, USA"
Azure Hot Pot,4.7,82,,Berkeley,37.87641,-122.269248,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]",1006.4866004259164,"1700 Shattuck Ave., Berkeley, CA 94709, USA"
Mezzo,4.2,1090,$$,Berkeley,37.866190376725285,-122.2588104140514,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1453.7272317496247,"2442 Telegraph Ave, Berkeley, CA 94704, USA"
Afghan Burrito,4.6,402,$$,Berkeley,37.86435,-122.29014,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'halal', 'title': 'Halal'}]",1413.1193651381209,"2309 San Pablo Ave, Berkeley, CA 94702, USA"
Eureka!,3.8,2338,$$,Berkeley,37.86995,-122.26901,"[{'alias': 'tradamerican', 'title': 'American'}]",555.3907753301596,"2068 Center St, Berkeley, CA 94704, USA"
Butterfish Sushi,4.5,167,$$$,Berkeley,37.868547,-122.296125,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",1845.7768774732435,"915 University Ave, Berkeley, CA 94710, USA"
Tokyo Fish Market,4.6,1016,$$,Berkeley,37.8814694826618,-122.296665832383,"[{'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",2373.352886030222,"1220 San Pablo Ave, Berkeley, CA 94706, USA"
Tipsy Yeti Restaurant & Bar,4.7,94,,Berkeley,37.860632,-122.289713,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'tradamerican', 'title': 'American'}]",1563.268767828253,"2512 San Pablo Ave, Berkeley, CA 94702, USA"
Thai Table,4.3,551,$$,Berkeley,37.86848948410972,-122.2962013,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",1853.586982927575,"913 University Ave, Berkeley, CA 94710, USA"
Spoon,4.0,1093,$$,Berkeley,37.85165,-122.28992,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'bbq', 'title': 'Barbeque'}]",2287.909236204539,"931 Ashby Ave, Berkeley, CA 94710, USA"
To The Moon,4.7,55,,Oakland,37.832086,-122.263096,"[{'alias': 'korean', 'title': 'Korean'}]",4194.86827426937,"493 44th St, Oakland, CA 94609, USA"
84 Viet,3.9,160,$$,Berkeley,37.872824,-122.269031,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",710.6356611119561,"2050 Berkeley Way, Berkeley, CA 94704, USA"
Toss Noodle Bar,4.0,1379,$$,Berkeley,37.8681334,-122.2679719,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",626.6595113136028,"Shattuck Av & Kittredge St, Berkeley, CA 94704, USA"
Jupiter,3.9,3716,$$,Berkeley,37.869817,-122.267597,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'brewpubs', 'title': 'Brewpubs'}]",670.9140864702873,"2181 Shattuck Ave., Berkeley, CA 94704, USA"
Grégoire,4.1,2587,$$,Berkeley,37.8785970706384,-122.268645902327,"[{'alias': 'french', 'title': 'French'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",1246.1918662911417,"2109 Cedar St, Berkeley, CA 94709, USA"
Masa Ramen Bistro,4.5,312,$$,Berkeley,37.871879,-122.272408,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'japacurry', 'title': 'Japanese Curry'}]",428.33931459230627,"1923 University Ave, Berkeley, CA 94704, USA"
Gypsy's Trattoria Italiana,4.0,2374,$$,Berkeley,37.868068,-122.258124,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",1490.0863917860986,"2519 Durant Ave, Berkeley, CA 94704, USA"
La Mission,4.1,1461,$$,Berkeley,37.8698395883553,-122.287912028045,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",1134.1874039241063,"1255 University Ave, Berkeley, CA 94702, USA"
Top Dog,4.2,2272,$,Berkeley,37.86772,-122.25739,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}]",1557.021464849664,"2534 Durant Ave, Berkeley, CA 94704, USA"
Wat Mongkolratanaram,4.3,953,$,Berkeley,37.856425093302,-122.27067686843,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'buddhist_temples', 'title': 'Buddhist Temples'}]",1408.9647567591512,"1911 Russell St, Berkeley, CA 94703, USA"
Angeline's Louisiana Kitchen,4.1,5143,$$,Berkeley,37.8682447,-122.26758388625984,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'seafood', 'title': 'Seafood'}]",659.7285111315806,"2261 Shattuck Ave., Berkeley, CA 94704, USA"
